Fecha,Ingresos,Socios,Sucursal,Socios Premium
ene-19,586408.48,932,Clouthier,
feb-19,563242.93,930,Clouthier,
mar-19,566978.13,984,Clouthier,
abr-19,581753.26,1012,Clouthier,
may-19,624369.73,1055,Clouthier,
jun-19,641934.65,1079,Clouthier,
jul-19,730971,1120,Clouthier,
ago-19,653358,1142,Clouthier,
sep-19,688983,1160,Clouthier,
oct-19,685470.5,1137,Clouthier,
nov-19,743481.5,1130,Clouthier,
dic-19,685165,1064,Clouthier,
ene-20,750086,1126,Clouthier,
feb-20,740418.5,1096,Clouthier,
mar-20,657033,1032,Clouthier,
abr-20,357599.5,606,Clouthier,
may-20,72793,123.3574376,Clouthier,
jun-20,207119,747,Clouthier,0.2
jul-20,271538,703,Clouthier,0.21
ago-20,345788,624,Clouthier,0.19
sep-20,315653.5,561,Clouthier,0.21
oct-20,335709.14,495,Clouthier,0.19
nov-20,314648.5,484,Clouthier,0.22
dic-20,299203.5,470,Clouthier,0.23
ene-21,258603.4,440,Clouthier,0.2591
feb-21,297436.85,394,Clouthier,0.2817
mar-21,412933.8,409,Clouthier,0.2787
abr-21,343696.6,439,Clouthier,0.3371
may-21,446825.5,513,Clouthier,0.3684
jun-21,391064,528,Clouthier,0.3807
jul-21,439614.5,575,Clouthier,0.4087
ago-21,465655.5,602,Clouthier,0.407
sep-21,553444,646,Clouthier,0.4164
oct-21,518436,673,Clouthier,0.3952
nov-21,543595.5,691,Clouthier,0.3748
dic-21,507450,678,Clouthier,0.3673
ene-22,571748.5,766,Clouthier,0.38772846
feb-22,562786.5,781,Clouthier,0.386683739
mar-22,838849.5,802,Clouthier,0.422693267
abr-22,688846,836,Clouthier,0.434210526
may-22,755860,872,Clouthier,0.447247706
jun-22,680454,880,Clouthier,0.444948922
jul-22,692983.5,882,Clouthier,0.431972789
ago-22,760670.5,900,Clouthier,0.423076923
sep-22,878642.5,910,Clouthier,0.42967033
oct-22,756076,918,Clouthier,0.425925926
nov-22,769902,934,Clouthier,0.434689507
dic-22,719537.6352,916.4283647,Clouthier,0.475
ene-23,,,Clouthier,
feb-23,,,Clouthier,
mar-23,,,Clouthier,
43466,704261.37,1063,La Paz,
43497,316202.23,1100,La Paz,
43525,501107.14,1239,La Paz,
43556,519132.71,1200,La Paz,
43586,545026.16,1299,La Paz,
43617,528659.32,1324,La Paz,
43647,542853.33,1317,La Paz,
43678,518670.5,1250,La Paz,
43709,540397.5,1241,La Paz,
43739,532683.5,1250,La Paz,
43770,533343,1243,La Paz,
43800,478452,1168,La Paz,
43831,577594,1261,La Paz,
43862,602715.5,1118,La Paz,
43891,494545,1130,La Paz,
43922,246280.5,593,La Paz,
43952,91109.5,219.3756042,La Paz,
43983,179422,879,La Paz,0.13
44013,247339,895,La Paz,0.14
44044,351741.5,831,La Paz,0.14
44075,350457.5,862,La Paz,0.14
44105,350808,852,La Paz,0.14
44136,354460.5,832,La Paz,0.16
44166,337903.5,804,La Paz,0.16
44197,323904.5,792,La Paz,0.1566
44228,373043.75,812,La Paz,0.149
44256,462642.5,868,La Paz,0.1475
44287,393261.5,906,La Paz,0.1832
44317,468888,949,La Paz,0.1812
44348,414630.5,961,La Paz,0.1713
44378,422507,976,La Paz,0.1568
44409,441183,1015,La Paz,0.1586
44440,492136,1013,La Paz,0.154
44470,452020,1042,La Paz,0.1603
44501,465073,1064,La Paz,0.1551
44531,436785.5,1061,La Paz,0.1574
44562,503017,1246,La Paz,0.188603531
44593,512514.5,1260,La Paz,0.179365079
44621,712327.4,1322,La Paz,0.204236006
44652,592488.8,1369,La Paz,0.208181154
44682,646731.8,1395,La Paz,0.205017921
44713,610940,1444,La Paz,0.20498615
44743,617273.5,1464,La Paz,0.206967213
44774,650693.4,1472,La Paz,0.207201087
44805,772236.1,1491,La Paz,0.215962441
44835,642798.7,1474,La Paz,0.210990502
44866,627980.9,1448,La Paz,0.205110497
44896,611047.9,1397,La Paz,0.200429492
44927,,,La Paz,
44958,,,La Paz,
44986,,,La Paz,
43466,779043.44,1127,Vallarta,
43497,637429.88,1130,Vallarta,
43525,575631.41,1155,Vallarta,
43556,663068.09,1214,Vallarta,
43586,636729.87,1214,Vallarta,
43617,625231.76,1206,Vallarta,
43647,691219,1285,Vallarta,
43678,716851.97,1347,Vallarta,
43709,698011.13,1371,Vallarta,
43739,686089,1402,Vallarta,
43770,811676,1426,Vallarta,
43800,772869,1415,Vallarta,
43831,876040,1499,Vallarta,
43862,916156,1421,Vallarta,
43891,695614,1314,Vallarta,
43922,295111,679,Vallarta,
43952,189116,435.1236111,Vallarta,
43983,245965,1107,Vallarta,0.14
44013,310167.5,1058,Vallarta,0.18
44044,442822,864,Vallarta,0.21
44075,404331,854,Vallarta,0.22
44105,430823.5,851,Vallarta,0.21
44136,438427.5,849,Vallarta,0.22
44166,491049,855,Vallarta,0.2374
44197,404146.5,817,Vallarta,0.2472
44228,507009.5,823,Vallarta,0.2515
44256,482016,839,Vallarta,0.2622
44287,586584,866,Vallarta,0.2679
44317,609837.5,908,Vallarta,0.272
44348,621485.5,938,Vallarta,0.2921
44378,583034,950,Vallarta,0.2989
44409,602437.5,951,Vallarta,0.2997
44440,639870,998,Vallarta,0.3076
44470,615900,1029,Vallarta,0.3207
44501,692516.5,1043,Vallarta,0.3174
44531,583187.5,1028,Vallarta,0.3113
44562,614842.5,1128,Vallarta,0.332446809
44593,715247.2,1139,Vallarta,0.345039508
44621,771189.6,1184,Vallarta,0.365709459
44652,837047.9,1181,Vallarta,0.376799323
44682,858225.6,1275,Vallarta,0.378039216
44713,845000,1272,Vallarta,0.375786164
44743,778448.8,1302,Vallarta,0.386328725
44774,869789.2,1318,Vallarta,0.383915023
44805,871104.4,1379,Vallarta,0.419144307
44835,876683.4,1362,Vallarta,0.405286344
44866,906403.4,1362,Vallarta,0.411160059
44896,903065.94,1388,Vallarta,0.393736018
44927,,,Vallarta,
44958,,,Vallarta,
44986,,,Vallarta,
43466,425313.79,985,NH,
43497,401388.3,985,NH,
43525,412460.97,1087,NH,
43556,418307.67,1131,NH,
43586,501399.33,1160,NH,
43617,462873.65,1184,NH,
43647,507949.8,1195,NH,
43678,493313,1190,NH,
43709,483364,1240,NH,
43739,488039,1213,NH,
43770,486384,1204,NH,
43800,486298,1181,NH,
43831,510394,1203,NH,
43862,502968,1123,NH,
43891,431254,1062,NH,
43922,264561,730,NH,
43952,179031,493.998095,NH,
43983,135512,599,NH,0.11
44013,166859.5,688,NH,0.13
44044,260997,666,NH,0.12
44075,241668,670,NH,0.13
44105,245341.5,653,NH,0.15
44136,244111,627,NH,0.15
44166,246494,560,NH,0.1625
44197,212584,576,NH,0.1545
44228,264804.75,610,NH,0.1705
44256,396520,676,NH,0.2027
44287,344624.5,724,NH,0.2155
44317,376793.5,762,NH,0.2218
44348,381711.5,795,NH,0.2201
44378,384084,837,NH,0.2162
44409,399679,866,NH,0.2321
44440,480726.5,918,NH,0.2309
44470,418223.5,951,NH,0.2366
44501,445398,970,NH,0.2351
