Sucursal,Fecha,Ingresos,Socios,% Socios Premium,Ventas,Recomendación,De Paso,Google,Instagram,Facebook,Radio,Activación,Corporativo,Otros
Clouthier,ene-21,258603.4,440,0.2591,20,10,8,,0,3,0,0,0,5
Clouthier,feb-21,297436.85,394,0.2817,23,10,8,,0,3,0,0,0,5
Clouthier,mar-21,412933.8,409,0.2787,44,22,25,,4,6,0,0,0,4
Clouthier,abr-21,343696.6,439,0.3371,19,15,25,,1,3,0,0,0,7
Clouthier,may-21,446825.5,513,0.3684,62,13,44,,1,6,0,0,0,12
Clouthier,jun-21,391064,528,0.3807,31,16,40,,2,2,0,0,0,6
Clouthier,jul-21,439614.5,575,0.4087,51,26,25,,1,5,0,0,0,10
Clouthier,ago-21,465655.5,602,0.407,33,20,13,,0,1,0,0,0,6
Clouthier,sep-21,553444,646,0.4164,55,10,41,,1,3,,,,7
Clouthier,oct-21,518436,673,0.3952,41,16,54,,1,6,1,,,12
Clouthier,nov-21,543595.5,691,0.3748,33,18,41,,,4,,,,3
Clouthier,dic-21,507450,678,0.3673,17,5,3,,,,,,,1
Clouthier,ene-22,571748.5,766,0.38772846,82,30,64,4,2,0,0,0,16,0
Clouthier,feb-22,562786.5,781,0.386683739,30,17,28,4,3,0,0,0,0,12
Clouthier,mar-22,838849.5,802,0.422693267,46,18,18,5,1,0,0,0,0,3
Clouthier,abr-22,688846,836,0.434210526,35,16,18,5,1,0,0,0,0,6
Clouthier,may-22,755860,872,0.447247706,74,14,71,3,1,1,0,0,0,10
Clouthier,jun-22,680454,880,0.444948922,30,7,40,2,1,1,0,0,0,2
Clouthier,jul-22,692983.5,882,0.431972789,39,26,30,0,1,0,0,0,2,6
Clouthier,ago-22,760670.5,900,0.423076923,34,14,54,5,4,0,0,0,3,10
Clouthier,sep-22,878642.5,910,0.42967033,67,20,52,3,2,0,0,0,3,9
Clouthier,oct-22,756076,918,0.425925926,40,11,44,4,1,0,1,0,0,9
Clouthier,nov-22,769902,934,0.434689507,32,4,31,1,1,0,0,0,0,9
Clouthier,dic-22,719537.6352,916.4283647,0.475,0,3,10,2,2,0,0,0,1,2
Clouthier,ene-23,768496.5,963,0.436137072,92,19,75,1,6,0,0,0,2,10
Clouthier,feb-23,805578,975,0.444102564,48,9,43,0,2,0,0,0,0,18
Clouthier,mar-23,1030949.53,1036,0.467181467,89,9,79,3,3,1,0,0,1,6
Clouthier,abr-23,832156.01,1005,0.460696517,29,4,34,2,0,0,0,0,0,4
La Paz,ene-21,323904.5,792,0.1566,52,13,21,,2,14,0,0,1,3
La Paz,feb-21,373043.75,812,0.149,64,12,67,,0,8,0,0,,
La Paz,mar-21,462642.5,868,0.1475,92,6,82,,2,5,0,0,1,14
